tile_x,tile_y,zoom,inside_polygon
8480,5887,14,0
8480,5888,14,0
8480,5889,14,0
8480,5890,14,0
8480,5891,14,0
8480,5892,14,0
8480,5893,14,0
8480,5894,14,0
8480,5895,14,0
8480,5896,14,0
8480,5897,14,0
8480,5898,14,0
8480,5899,14,0
8480,5900,14,0
8480,5901,14,0
8480,5902,14,0
8480,5903,14,0
8480,5904,14,0
8480,5905,14,0
8480,5906,14,0
8480,5907,14,0
8480,5908,14,0
8480,5909,14,0
8481,5887,14,0
8481,5888,14,0
8481,5889,14,1
8481,5890,14,0
8481,5891,14,0
8481,5892,14,0
8481,5893,14,0
8481,5894,14,0
8481,5895,14,0
8481,5896,14,0
8481,5897,14,0
8481,5898,14,0
8481,5899,14,0
8481,5900,14,0
8481,5901,14,0
8481,5902,14,0
8481,5903,14,0
8481,5904,14,0
8481,5905,14,0
8481,5906,14,0
8481,5907,14,0
8481,5908,14,0
8481,5909,14,0
8482,5887,14,0
8482,5888,14,0
8482,5889,14,1
8482,5890,14,1
8482,5891,14,0
8482,5892,14,1
8482,5893,14,0
8482,5894,14,0
8482,5895,14,0
8482,5896,14,0
8482,5897,14,0
8482,5898,14,0
8482,5899,14,0
8482,5900,14,0
8482,5901,14,0
8482,5902,14,0
8482,5903,14,0
8482,5904,14,0
8482,5905,14,0
8482,5906,14,0
8482,5907,14,0
8482,5908,14,0
8482,5909,14,0
8483,5887,14,0
8483,5888,14,0
8483,5889,14,1
8483,5890,14,1
8483,5891,14,1
8483,5892,14,1
8483,5893,14,1
8483,5894,14,0
8483,5895,14,0
8483,5896,14,0
8483,5897,14,0
8483,5898,14,1
8483,5899,14,1
8483,5900,14,0
8483,5901,14,0
8483,5902,14,0
8483,5903,14,0
8483,5904,14,0
8483,5905,14,0
8483,5906,14,0
8483,5907,14,0
8483,5908,14,0
8483,5909,14,0
8484,5887,14,0
8484,5888,14,0
8484,5889,14,0
8484,5890,14,1
8484,5891,14,1
8484,5892,14,0
8484,5893,14,1
8484,5894,14,1
8484,5895,14,1
8484,5896,14,0
8484,5897,14,0
8484,5898,14,0
8484,5899,14,1
8484,5900,14,0
8484,5901,14,0
8484,5902,14,0
8484,5903,14,0
8484,5904,14,0
8484,5905,14,0
8484,5906,14,0
8484,5907,14,0
8484,5908,14,0
8484,5909,14,0
8485,5887,14,0
8485,5888,14,0
8485,5889,14,0
8485,5890,14,0
8485,5891,14,1
8485,5892,14,1
8485,5893,14,1
8485,5894,14,0
8485,5895,14,1
8485,5896,14,0
8485,5897,14,0
8485,5898,14,0
8485,5899,14,0
8485,5900,14,0
8485,5901,14,0
8485,5902,14,0
8485,5903,14,0
8485,5904,14,0
8485,5905,14,0
8485,5906,14,0
8485,5907,14,0
8485,5908,14,0
8485,5909,14,0
8486,5887,14,0
8486,5888,14,0
8486,5889,14,0
8486,5890,14,0
8486,5891,14,1
8486,5892,14,1
8486,5893,14,1
8486,5894,14,1
8486,5895,14,1
8486,5896,14,0
8486,5897,14,0
8486,5898,14,0
8486,5899,14,0
8486,5900,14,0
8486,5901,14,0
8486,5902,14,0
8486,5903,14,0
8486,5904,14,0
8486,5905,14,0
8486,5906,14,1
8486,5907,14,0
8486,5908,14,0
8486,5909,14,0
8487,5887,14,0
8487,5888,14,0
8487,5889,14,0
8487,5890,14,0
8487,5891,14,1
8487,5892,14,1
8487,5893,14,0
8487,5894,14,1
8487,5895,14,1
8487,5896,14,1
8487,5897,14,1
8487,5898,14,1
8487,5899,14,0
8487,5900,14,0
8487,5901,14,1
8487,5902,14,1
8487,5903,14,0
8487,5904,14,1
8487,5905,14,1
8487,5906,14,1
8487,5907,14,0
8487,5908,14,0
8487,5909,14,0
8488,5887,14,0
8488,5888,14,0
8488,5889,14,0
8488,5890,14,0
8488,5891,14,0
8488,5892,14,0
8488,5893,14,0
8488,5894,14,1
8488,5895,14,1
8488,5896,14,1
8488,5897,14,1
8488,5898,14,1
8488,5899,14,1
8488,5900,14,1
8488,5901,14,1
8488,5902,14,1
8488,5903,14,0
8488,5904,14,0
8488,5905,14,0
8488,5906,14,0
8488,5907,14,0
8488,5908,14,0
8488,5909,14,0
8489,5887,14,0
8489,5888,14,0
8489,5889,14,0
8489,5890,14,1
8489,5891,14,1
8489,5892,14,0
8489,5893,14,0
8489,5894,14,1
8489,5895,14,1
8489,5896,14,1
8489,5897,14,1
8489,5898,14,1
8489,5899,14,1
8489,5900,14,0
8489,5901,14,1
8489,5902,14,0
8489,5903,14,0
8489,5904,14,0
8489,5905,14,0
8489,5906,14,0
8489,5907,14,0
8489,5908,14,0
8489,5909,14,0
8490,5887,14,0
8490,5888,14,0
8490,5889,14,0
8490,5890,14,0
8490,5891,14,1
8490,5892,14,0
8490,5893,14,0
8490,5894,14,1
8490,5895,14,1
8490,5896,14,1
8490,5897,14,1
8490,5898,14,1
8490,5899,14,1
8490,5900,14,1
8490,5901,14,0
8490,5902,14,0
8490,5903,14,0
8490,5904,14,0
8490,5905,14,0
8490,5906,14,0
8490,5907,14,0
8490,5908,14,0
8490,5909,14,0
8491,5887,14,0
8491,5888,14,0
8491,5889,14,0
8491,5890,14,0
8491,5891,14,0
8491,5892,14,0
8491,5893,14,0
8491,5894,14,0
8491,5895,14,1
8491,5896,14,1
8491,5897,14,1
8491,5898,14,1
8491,5899,14,1
8491,5900,14,1
8491,5901,14,1
8491,5902,14,0
8491,5903,14,0
8491,5904,14,0
8491,5905,14,0
8491,5906,14,0
8491,5907,14,0
8491,5908,14,0
8491,5909,14,0
8492,5887,14,0
8492,5888,14,0
8492,5889,14,0
8492,5890,14,0
8492,5891,14,0
8492,5892,14,0
8492,5893,14,0
8492,5894,14,0
8492,5895,14,1
8492,5896,14,1
8492,5897,14,1
8492,5898,14,1
8492,5899,14,1
8492,5900,14,0
8492,5901,14,0
8492,5902,14,0
8492,5903,14,0
8492,5904,14,0
8492,5905,14,0
8492,5906,14,0
8492,5907,14,0
8492,5908,14,0
8492,5909,14,0
8493,5887,14,0
8493,5888,14,0
8493,5889,14,0
8493,5890,14,0
8493,5891,14,0
8493,5892,14,0
8493,5893,14,0
8493,5894,14,0
8493,5895,14,0
8493,5896,14,1
8493,5897,14,1
8493,5898,14,1
8493,5899,14,1
8493,5900,14,1
8493,5901,14,1
8493,5902,14,1
8493,5903,14,1
8493,5904,14,0
8493,5905,14,0
8493,5906,14,0
8493,5907,14,0
8493,5908,14,0
8493,5909,14,0
8494,5887,14,0
8494,5888,14,0
8494,5889,14,0
8494,5890,14,0
8494,5891,14,0
8494,5892,14,0
8494,5893,14,0
8494,5894,14,0
8494,5895,14,1
8494,5896,14,1
8494,5897,14,1
8494,5898,14,1
8494,5899,14,1
8494,5900,14,0
8494,5901,14,0
8494,5902,14,1
8494,5903,14,0
8494,5904,14,0
8494,5905,14,0
8494,5906,14,0
8494,5907,14,0
8494,5908,14,0
8494,5909,14,0
8495,5887,14,0
8495,5888,14,0
8495,5889,14,0
8495,5890,14,0
8495,5891,14,0
8495,5892,14,0
8495,5893,14,0
8495,5894,14,0
8495,5895,14,1
8495,5896,14,1
8495,5897,14,0
8495,5898,14,0
8495,5899,14,1
8495,5900,14,0
8495,5901,14,0
8495,5902,14,0
8495,5903,14,0
8495,5904,14,0
8495,5905,14,0
8495,5906,14,0
8495,5907,14,0
8495,5908,14,0
8495,5909,14,0
8496,5887,14,0
8496,5888,14,0
8496,5889,14,0
8496,5890,14,0
8496,5891,14,0
8496,5892,14,0
8496,5893,14,0
8496,5894,14,0
8496,5895,14,0
8496,5896,14,0
8496,5897,14,0
8496,5898,14,0
8496,5899,14,1
8496,5900,14,1
8496,5901,14,0
8496,5902,14,0
8496,5903,14,0
8496,5904,14,1
8496,5905,14,0
8496,5906,14,0
8496,5907,14,0
8496,5908,14,0
8496,5909,14,0
8497,5887,14,0
8497,5888,14,0
8497,5889,14,0
8497,5890,14,0
8497,5891,14,0
8497,5892,14,0
8497,5893,14,0
8497,5894,14,0
8497,5895,14,0
8497,5896,14,0
8497,5897,14,0
8497,5898,14,1
8497,5899,14,1
8497,5900,14,1
8497,5901,14,0
