tile_x,tile_y,zoom,inside_polygon
8403,5841,14,0
8403,5842,14,0
8403,5843,14,0
8403,5844,14,0
8403,5845,14,0
8403,5846,14,0
8403,5847,14,0
8403,5848,14,0
8403,5849,14,0
8403,5850,14,0
8403,5851,14,0
8403,5852,14,0
8403,5853,14,0
8404,5841,14,0
8404,5842,14,0
8404,5843,14,0
8404,5844,14,0
8404,5845,14,0
8404,5846,14,0
8404,5847,14,0
8404,5848,14,0
8404,5849,14,0
8404,5850,14,0
8404,5851,14,0
8404,5852,14,0
8404,5853,14,0
8405,5841,14,0
8405,5842,14,0
8405,5843,14,0
8405,5844,14,0
8405,5845,14,0
8405,5846,14,0
8405,5847,14,1
8405,5848,14,1
8405,5849,14,0
8405,5850,14,0
8405,5851,14,0
8405,5852,14,0
8405,5853,14,0
8406,5841,14,0
8406,5842,14,0
8406,5843,14,0
8406,5844,14,0
8406,5845,14,0
8406,5846,14,0
8406,5847,14,0
8406,5848,14,1
8406,5849,14,1
8406,5850,14,0
8406,5851,14,0
8406,5852,14,0
8406,5853,14,0
8407,5841,14,0
8407,5842,14,0
8407,5843,14,0
8407,5844,14,0
8407,5845,14,0
8407,5846,14,1
8407,5847,14,1
8407,5848,14,1
8407,5849,14,1
8407,5850,14,0
8407,5851,14,0
8407,5852,14,0
8407,5853,14,0
8408,5841,14,0
8408,5842,14,0
8408,5843,14,0
8408,5844,14,0
8408,5845,14,0
8408,5846,14,1
8408,5847,14,1
8408,5848,14,1
8408,5849,14,1
8408,5850,14,1
8408,5851,14,0
8408,5852,14,0
8408,5853,14,0
8409,5841,14,0
8409,5842,14,0
8409,5843,14,0
8409,5844,14,0
8409,5845,14,0
8409,5846,14,1
8409,5847,14,1
8409,5848,14,1
8409,5849,14,1
8409,5850,14,0
8409,5851,14,0
8409,5852,14,0
8409,5853,14,0
8410,5841,14,0
8410,5842,14,0
8410,5843,14,0
8410,5844,14,0
8410,5845,14,1
8410,5846,14,1
8410,5847,14,1
8410,5848,14,1
8410,5849,14,0
8410,5850,14,0
8410,5851,14,0
8410,5852,14,0
8410,5853,14,0
8411,5841,14,0
8411,5842,14,0
8411,5843,14,1
8411,5844,14,1
8411,5845,14,1
8411,5846,14,1
8411,5847,14,1
8411,5848,14,0
8411,5849,14,0
8411,5850,14,1
8411,5851,14,1
8411,5852,14,0
8411,5853,14,0
8412,5841,14,0
8412,5842,14,1
8412,5843,14,1
8412,5844,14,1
8412,5845,14,1
8412,5846,14,1
8412,5847,14,0
8412,5848,14,0
8412,5849,14,0
8412,5850,14,0
8412,5851,14,0
8412,5852,14,0
8412,5853,14,0
8413,5841,14,0
8413,5842,14,1
8413,5843,14,1
8413,5844,14,0
8413,5845,14,0
8413,5846,14,0
8413,5847,14,0
8413,5848,14,0
8413,5849,14,0
8413,5850,14,0
8413,5851,14,0
8413,5852,14,0
8413,5853,14,0
8414,5841,14,0
8414,5842,14,0
8414,5843,14,0
8414,5844,14,0
8414,5845,14,0
8414,5846,14,0
8414,5847,14,0
8414,5848,14,0
8414,5849,14,0
8414,5850,14,0
8414,5851,14,0
8414,5852,14,0
8414,5853,14,0
8415,5841,14,0
8415,5842,14,0
8415,5843,14,0
8415,5844,14,0
8415,5845,14,0
8415,5846,14,0
8415,5847,14,0
8415,5848,14,0
8415,5849,14,0
8415,5850,14,0
8415,5851,14,0
8415,5852,14,0
8415,5853,14,0
