tile_x,tile_y,zoom,yard_name
67816,46397,17,Yard_6
67816,46396,17,Yard_6
67815,46397,17,Yard_6
67817,46396,17,Yard_6
67815,46396,17,Yard_6
67814,46397,17,Yard_6
67813,46397,17,Yard_6
67813,46396,17,Yard_6
67813,46398,17,Yard_6
67812,46397,17,Yard_6
67812,46396,17,Yard_6
67812,46398,17,Yard_6
67811,46397,17,Yard_6
67812,46395,17,Yard_6
67811,46396,17,Yard_6
67811,46398,17,Yard_6
67810,46397,17,Yard_6
67811,46395,17,Yard_6
67810,46396,17,Yard_6
67809,46397,17,Yard_6
67811,46394,17,Yard_6
67810,46394,17,Yard_6
