tile_x,tile_y,zoom,yard_name
67768,46474,17,Yard (Main)
67769,46474,17,Yard (Main)
67767,46474,17,Yard (Main)
67769,46475,17,Yard (Main)
67767,46473,17,Yard (Main)
67770,46475,17,Yard (Main)
67767,46472,17,Yard (Main)
67770,46476,17,Yard (Main)
67768,46472,17,Yard (Main)
67770,46477,17,Yard (Main)
67768,46471,17,Yard (Main)
67770,46478,17,Yard (Main)
67768,46470,17,Yard (Main)
67769,46478,17,Yard (Main)
67767,46470,17,Yard (Main)
67769,46479,17,Yard (Main)
67767,46469,17,Yard (Main)
67769,46480,17,Yard (Main)
67766,46469,17,Yard (Main)
67770,46480,17,Yard (Main)
67766,46468,17,Yard (Main)
67770,46481,17,Yard (Main)
67765,46468,17,Yard (Main)
67771,46481,17,Yard (Main)
67765,46467,17,Yard (Main)
67772,46481,17,Yard (Main)
67764,46467,17,Yard (Main)
67773,46481,17,Yard (Main)
67764,46466,17,Yard (Main)
67774,46481,17,Yard (Main)
67763,46466,17,Yard (Main)
67774,46480,17,Yard (Main)
67763,46465,17,Yard (Main)
67775,46480,17,Yard (Main)
67762,46465,17,Yard (Main)
67775,46479,17,Yard (Main)
67762,46464,17,Yard (Main)
67775,46478,17,Yard (Main)
67761,46464,17,Yard (Main)
67776,46478,17,Yard (Main)
67760,46464,17,Yard (Main)
67776,46477,17,Yard (Main)
67760,46465,17,Yard (Main)
67776,46476,17,Yard (Main)
67759,46465,17,Yard (Main)
67777,46476,17,Yard (Main)
67758,46465,17,Yard (Main)
67777,46475,17,Yard (Main)
67758,46466,17,Yard (Main)
67777,46474,17,Yard (Main)
67758,46467,17,Yard (Main)
67778,46474,17,Yard (Main)
67757,46467,17,Yard (Main)
67779,46474,17,Yard (Main)
67757,46468,17,Yard (Main)
67779,46473,17,Yard (Main)
67756,46468,17,Yard (Main)
67780,46473,17,Yard (Main)
67756,46469,17,Yard (Main)
67780,46472,17,Yard (Main)
67781,46473,17,Yard (Main)
67756,46470,17,Yard (Main)
67781,46472,17,Yard (Main)
67782,46473,17,Yard (Main)
67781,46474,17,Yard (Main)
67755,46470,17,Yard (Main)
67781,46471,17,Yard (Main)
67783,46473,17,Yard (Main)
67781,46475,17,Yard (Main)
67755,46471,17,Yard (Main)
67782,46471,17,Yard (Main)
67783,46472,17,Yard (Main)
67781,46476,17,Yard (Main)
67755,46472,17,Yard (Main)
67782,46470,17,Yard (Main)
67784,46472,17,Yard (Main)
67780,46476,17,Yard (Main)
67754,46472,17,Yard (Main)
67782,46469,17,Yard (Main)
67784,46471,17,Yard (Main)
67780,46477,17,Yard (Main)
67754,46473,17,Yard (Main)
67753,46472,17,Yard (Main)
67783,46469,17,Yard (Main)
67785,46471,17,Yard (Main)
67780,46478,17,Yard (Main)
67752,46472,17,Yard (Main)
67783,46468,17,Yard (Main)
67785,46470,17,Yard (Main)
67780,46479,17,Yard (Main)
67752,46473,17,Yard (Main)
67783,46467,17,Yard (Main)
67786,46470,17,Yard (Main)
67780,46480,17,Yard (Main)
67751,46473,17,Yard (Main)
67782,46467,17,Yard (Main)
67786,46469,17,Yard (Main)
67780,46481,17,Yard (Main)
67751,46474,17,Yard (Main)
67781,46467,17,Yard (Main)
67786,46468,17,Yard (Main)
67780,46482,17,Yard (Main)
67750,46474,17,Yard (Main)
67781,46466,17,Yard (Main)
67787,46468,17,Yard (Main)
67781,46482,17,Yard (Main)
67750,46475,17,Yard (Main)
67780,46466,17,Yard (Main)
67787,46467,17,Yard (Main)
67781,46483,17,Yard (Main)
67749,46475,17,Yard (Main)
67780,46465,17,Yard (Main)
67788,46467,17,Yard (Main)
67781,46484,17,Yard (Main)
67748,46475,17,Yard (Main)
67779,46465,17,Yard (Main)
67788,46466,17,Yard (Main)
67782,46484,17,Yard (Main)
67781,46485,17,Yard (Main)
67748,46474,17,Yard (Main)
67778,46465,17,Yard (Main)
67788,46465,17,Yard (Main)
67782,46485,17,Yard (Main)
67781,46486,17,Yard (Main)
67748,46473,17,Yard (Main)
67747,46474,17,Yard (Main)
67778,46464,17,Yard (Main)
67777,46465,17,Yard (Main)
67789,46465,17,Yard (Main)
67781,46487,17,Yard (Main)
67748,46472,17,Yard (Main)
67747,46473,17,Yard (Main)
67776,46465,17,Yard (Main)
67789,46464,17,Yard (Main)
67780,46487,17,Yard (Main)
67749,46472,17,Yard (Main)
67776,46464,17,Yard (Main)
67790,46464,17,Yard (Main)
67780,46488,17,Yard (Main)
67749,46471,17,Yard (Main)
67775,46464,17,Yard (Main)
67790,46463,17,Yard (Main)
67780,46489,17,Yard (Main)
67749,46470,17,Yard (Main)
67750,46471,17,Yard (Main)
67774,46464,17,Yard (Main)
67791,46463,17,Yard (Main)
67780,46490,17,Yard (Main)
67749,46469,17,Yard (Main)
67750,46470,17,Yard (Main)
67773,46464,17,Yard (Main)
67791,46462,17,Yard (Main)
67779,46490,17,Yard (Main)
67748,46469,17,Yard (Main)
67773,46463,17,Yard (Main)
67791,46461,17,Yard (Main)
67779,46491,17,Yard (Main)
67748,46468,17,Yard (Main)
67772,46463,17,Yard (Main)
67792,46461,17,Yard (Main)
67779,46492,17,Yard (Main)
67747,46468,17,Yard (Main)
67772,46462,17,Yard (Main)
67792,46460,17,Yard (Main)
67778,46492,17,Yard (Main)
67747,46467,17,Yard (Main)
67772,46461,17,Yard (Main)
67792,46459,17,Yard (Main)
67778,46493,17,Yard (Main)
