tile_x,tile_y,zoom,inside_polygon
67844,47098,17,0
67844,47099,17,0
67844,47100,17,0
67844,47101,17,0
67844,47102,17,0
67844,47103,17,0
67844,47104,17,0
67844,47105,17,0
67844,47106,17,0
67844,47107,17,0
67844,47108,17,0
67844,47109,17,0
67844,47110,17,0
67844,47111,17,0
67844,47112,17,0
67844,47113,17,0
67844,47114,17,0
67844,47115,17,0
67844,47116,17,0
67844,47117,17,0
67844,47118,17,0
67844,47119,17,0
67844,47120,17,0
67844,47121,17,0
67844,47122,17,0
67844,47123,17,0
67844,47124,17,0
67844,47125,17,0
67844,47126,17,0
67844,47127,17,0
67844,47128,17,0
67844,47129,17,0
67844,47130,17,0
67844,47131,17,0
67844,47132,17,0
67844,47133,17,0
67844,47134,17,0
67844,47135,17,0
67844,47136,17,0
67844,47137,17,0
67844,47138,17,0
67844,47139,17,0
67844,47140,17,0
67844,47141,17,0
67844,47142,17,0
67844,47143,17,0
67844,47144,17,0
67844,47145,17,0
67844,47146,17,0
67844,47147,17,0
67844,47148,17,0
67844,47149,17,0
67844,47150,17,0
67844,47151,17,0
67844,47152,17,0
67844,47153,17,0
67844,47154,17,0
67844,47155,17,0
67844,47156,17,0
67844,47157,17,0
67844,47158,17,0
67844,47159,17,0
67844,47160,17,0
67844,47161,17,0
67844,47162,17,0
67844,47163,17,0
67844,47164,17,0
67844,47165,17,0
67844,47166,17,0
67844,47167,17,0
67844,47168,17,0
67844,47169,17,0
67844,47170,17,0
67844,47171,17,0
67844,47172,17,0
67844,47173,17,0
67844,47174,17,0
67844,47175,17,0
67844,47176,17,0
67844,47177,17,0
67844,47178,17,0
67844,47179,17,0
67844,47180,17,0
67844,47181,17,0
67844,47182,17,0
67844,47183,17,0
67844,47184,17,0
67844,47185,17,0
67844,47186,17,0
67844,47187,17,0
67844,47188,17,0
67844,47189,17,0
67844,47190,17,0
67844,47191,17,0
67844,47192,17,0
67844,47193,17,0
67844,47194,17,0
67844,47195,17,0
67844,47196,17,0
67844,47197,17,0
67844,47198,17,0
67844,47199,17,0
67844,47200,17,0
67844,47201,17,0
67844,47202,17,0
67844,47203,17,0
67844,47204,17,0
67844,47205,17,0
67844,47206,17,0
67844,47207,17,0
67844,47208,17,0
67844,47209,17,0
67844,47210,17,0
67844,47211,17,0
67844,47212,17,0
67844,47213,17,0
67844,47214,17,0
67844,47215,17,0
67844,47216,17,0
67844,47217,17,0
67844,47218,17,0
67844,47219,17,0
67844,47220,17,0
67844,47221,17,0
67844,47222,17,0
67844,47223,17,0
67844,47224,17,0
67844,47225,17,0
67844,47226,17,0
67844,47227,17,0
67844,47228,17,0
67844,47229,17,0
67844,47230,17,0
67844,47231,17,0
67844,47232,17,0
67844,47233,17,0
67844,47234,17,0
67844,47235,17,0
67844,47236,17,0
67844,47237,17,0
67844,47238,17,0
67844,47239,17,0
67844,47240,17,0
67844,47241,17,0
67844,47242,17,0
67844,47243,17,0
67844,47244,17,0
67844,47245,17,0
67844,47246,17,0
67844,47247,17,0
67844,47248,17,0
67844,47249,17,0
67844,47250,17,0
67844,47251,17,0
67844,47252,17,0
67844,47253,17,0
67844,47254,17,0
67844,47255,17,0
67844,47256,17,0
67844,47257,17,0
67844,47258,17,0
67844,47259,17,0
67844,47260,17,0
67844,47261,17,0
67844,47262,17,0
67844,47263,17,0
67844,47264,17,0
67844,47265,17,0
67844,47266,17,0
67844,47267,17,0
67844,47268,17,0
67844,47269,17,0
67844,47270,17,0
67844,47271,17,0
67844,47272,17,0
67844,47273,17,0
67845,47098,17,0
67845,47099,17,0
67845,47100,17,0
67845,47101,17,0
67845,47102,17,0
67845,47103,17,0
67845,47104,17,0
67845,47105,17,0
67845,47106,17,0
67845,47107,17,0
67845,47108,17,0
67845,47109,17,0
67845,47110,17,0
67845,47111,17,0
67845,47112,17,0
67845,47113,17,0
67845,47114,17,0
67845,47115,17,0
67845,47116,17,0
67845,47117,17,0
67845,47118,17,0
67845,47119,17,0
67845,47120,17,0
67845,47121,17,0
67845,47122,17,0
67845,47123,17,0
67845,47124,17,0
67845,47125,17,0
67845,47126,17,0
67845,47127,17,0
67845,47128,17,0
67845,47129,17,0
67845,47130,17,0
67845,47131,17,0
67845,47132,17,0
67845,47133,17,0
67845,47134,17,0
67845,47135,17,0
67845,47136,17,0
67845,47137,17,0
67845,47138,17,0
67845,47139,17,0
67845,47140,17,0
67845,47141,17,0
67845,47142,17,0
67845,47143,17,0
67845,47144,17,0
67845,47145,17,0
67845,47146,17,0
67845,47147,17,0
67845,47148,17,0
67845,47149,17,0
67845,47150,17,0
67845,47151,17,0
67845,47152,17,0
67845,47153,17,0
67845,47154,17,0
67845,47155,17,0
67845,47156,17,0
67845,47157,17,0
67845,47158,17,0
67845,47159,17,0
67845,47160,17,0
67845,47161,17,0
67845,47162,17,0
67845,47163,17,0
67845,47164,17,0
67845,47165,17,0
67845,47166,17,0
67845,47167,17,0
67845,47168,17,0
67845,47169,17,0
67845,47170,17,0
67845,47171,17,0
67845,47172,17,0
67845,47173,17,0
67845,47174,17,0
67845,47175,17,0
67845,47176,17,0
67845,47177,17,0
67845,47178,17,0
67845,47179,17,0
67845,47180,17,0
67845,47181,17,0
67845,47182,17,0
67845,47183,17,0
67845,47184,17,0
67845,47185,17,0
67845,47186,17,0
67845,47187,17,0
67845,47188,17,0
67845,47189,17,0
67845,47190,17,0
67845,47191,17,0
67845,47192,17,0
67845,47193,17,0
67845,47194,17,0
67845,47195,17,0
67845,47196,17,0
67845,47197,17,0
67845,47198,17,0
67845,47199,17,0
67845,47200,17,0
67845,47201,17,0
67845,47202,17,0
67845,47203,17,0
67845,47204,17,0
67845,47205,17,0
67845,47206,17,0
67845,47207,17,0
67845,47208,17,0
67845,47209,17,0
67845,47210,17,0
67845,47211,17,0
67845,47212,17,0
67845,47213,17,0
67845,47214,17,0
67845,47215,17,0
67845,47216,17,0
67845,47217,17,0
67845,47218,17,0
67845,47219,17,0
67845,47220,17,0
67845,47221,17,0
67845,47222,17,0
67845,47223,17,0
67845,47224,17,0
67845,47225,17,0
67845,47226,17,0
67845,47227,17,0
67845,47228,17,0
67845,47229,17,0
67845,47230,17,0
67845,47231,17,0
67845,47232,17,0
67845,47233,17,0
67845,47234,17,0
67845,47235,17,0
67845,47236,17,0
67845,47237,17,0
67845,47238,17,0
67845,47239,17,0
67845,47240,17,0
67845,47241,17,0
67845,47242,17,0
67845,47243,17,0
67845,47244,17,0
67845,47245,17,0
67845,47246,17,0
67845,47247,17,0
67845,47248,17,0
67845,47249,17,0
67845,47250,17,0
67845,47251,17,0
67845,47252,17,0
67845,47253,17,0
67845,47254,17,0
67845,47255,17,0
67845,47256,17,0
67845,47257,17,0
67845,47258,17,0
67845,47259,17,0
67845,47260,17,0
67845,47261,17,0
67845,47262,17,0
67845,47263,17,0
